Polish,English
w,In
na,on
i,and
z,With
że,That
nie,NO
to,this
jest,Is
od,From
dla,For
przez,By
po,after
tym,this
za,behind
jak,How
roku,year
są,are
już,Already
ma,has
ale,But
które,which
oraz,and
będzie,will be
co,What
czy,Whether
też,Too
Na,On
ze,That
tego,this
To,This
który,which
może,Maybe
także,too
przed,Before
być,to be
Jak,How
jego,his
również,also
tylko,Just
pod,under
przy,by
było,was
jednak,But
tak,Yes
tej,this
która,which
lat,years
bardzo,Very
był,was
ich,their
jej,her
by,that
można,you can
Polski,Polish
bo,because
będą,will be
ponad,above
jeszcze,still
Po,After
Z,WITH
lub,or
ten,this
osób,people
była,was
Polsce,Poland
został,left
mogą,may
gdy,When
podczas,while
we,in
nad,above
nich,them
aby,To
jako,as
miejsce,place
Rosji,Russia
którzy,who
mają,May
nawet,even
powiedział,he said
gdzie,Where
mln,million
m.in.,among others
miał,had
którym,which
sobie,herself
dzieci,kids